Game ID,Home Team,Away Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Scoring,Scoring,Scoring,Unnamed: 5_level_0,Unnamed: 6_level_0,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Player ID
,,,Rk,Player,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,
202410240DET,DET,NJD,4.0,Alex DeBrincat,1,1,2,1.0,0,1,0,0,0.0,0.0,1.0,0.0,3,33.3,21.0,19:01,debrial01
202410240DET,DET,NJD,5.0,Simon Edvinsson,0,1,1,1.0,0,0,0,0,0.0,1.0,0.0,0.0,0,,22.0,20:15,edvinsi01
202410240DET,DET,NJD,6.0,Christian Fischer,1,0,1,2.0,5,1,0,0,0.0,0.0,0.0,0.0,1,100.0,15.0,10:37,fischch01
202410240DET,DET,NJD,7.0,Erik Gustafsson,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,14.0,12:15,gustaer02
202410240DET,DET,NJD,8.0,Justin Holl,0,0,0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,2,0.0,19.0,13:16,hollju01
202410240DET,DET,NJD,9.0,Patrick Kane,1,1,2,0.0,2,0,1,0,1.0,0.0,1.0,0.0,3,33.3,21.0,18:38,kanepa01
202410240DET,DET,NJD,10.0,Marco Kasper,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,20.0,18:44,kaspema01
202410240DET,DET,NJD,11.0,Dylan Larkin,1,0,1,1.0,2,0,1,0,0.0,0.0,0.0,0.0,3,33.3,26.0,23:00,larkidy01
202410240DET,DET,NJD,12.0,Olli MÃ¤Ã¤ttÃ¤,0,0,0,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,19.0,13:34,maattol01
202410240DET,DET,NJD,13.0,Jeff Petry,0,0,0,0.0,2,0,0,0,0.0,0.0,0.0,0.0,1,0.0,24.0,16:11,petryje01
202410240DET,DET,NJD,14.0,Michael Rasmussen,1,0,1,1.0,0,1,0,0,0.0,0.0,0.0,0.0,1,100.0,21.0,14:40,rasmumi01
202410240DET,DET,NJD,15.0,Lucas Raymond,0,2,2,1.0,2,0,0,0,0.0,0.0,2.0,0.0,0,,25.0,20:27,raymolu01
202410240DET,DET,NJD,16.0,Moritz Seider,0,0,0,1.0,2,0,0,0,0.0,0.0,0.0,0.0,1,0.0,25.0,24:51,seidemo01
202410240DET,DET,NJD,17.0,Vladimir Tarasenko,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,,20.0,15:59,tarasvl01
202410240DET,DET,NJD,18.0,Joe Veleno,0,0,0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,0.0,14.0,11:07,velenjo01
